Course ID;Course Name;Credit Hours;Description;Major
ECON 4460;Public Economics;3;Applies tools of microeconomics to the public sector. Explores the role of the government in the economy, providing an understanding of the reasons for government intervention in markets, the merits of possible government policies, and the response of economic agents to the government’s actions. Topics covered include tax policy, externalities, public goods, and social insurance programs. Emphasis is placed on contemporary policy debates, such as income and wealth inequality, social security reform, climate policy, health care reform, and education policy;Economics
ECON 4510;Economics of Health and Health Care;3;Surveys theoretical and empirical evidence on current issues in health and health care. The course presents individual-level models of health behaviors and the demand for health and medical insurance. Students analyze the economic behaviors of physicians, hospitals, and insurance companies as well as the possible role of government in encouraging the equitable and efficient performance of health markets. The course emphasizes current debates involving individual health decisions, health care reform, and the diffusion of new medical technologies;Economics
ECON 4520;Economics of Sports;3;Uses economic principles from game theory, labor economics, and econometrics to analyze a wide range of issues in the realms of professional sports and collegiate athletics;Economics
ECON 4610;Seminar in Economic Policy;3;"The objective of the course is to enable students to interpret current economic problems and policies using the economic models learned in their theory courses.  Students study the current ""Economic Report of the President"" and apply analytical tools to the data included in the text. Each student selects a current issue for detailed examination and report";Economics
ECON 4620;History of Economic Thought;3;This course is concerned with the economists who interpreted and influenced the development of capitalism and socialism over the last two centuries;Economics
ECON 4740;Seminar in Political Economy;3;Capstone experience in which students apply the tools of political economy to international issues. Crosslisted with INTA 4740;Economics
ECON 4741;Thesis in Political Economy;3;Individual project applying the tools of political economy to international issues.  Crosslisted with INTA 4741;Economics
ECON 4803;Special Topics in Economics;3;Courses designed to permit students and a professor to pursue a specialized interest in an area of economics not extensively treated in the offerings of the School;Economics
ECON 4812;Special Topics in Economics;2;Courses designed to permit students and a professor to pursue a specialized interest in an area of economics not extensively treated in the offerings of the School;Economics
ECON 4813;Special Topics in Economics;3;Courses designed to permit students and a professor to pursue a specialized interest in an area of economics not extensively treated in the offerings of the School;Economics
ECON 4814;Special Topics in Economics;4;Courses designed to permit students and a professor to pursue a specialized interest in an area of economics not extensively treated in the offerings of the School;Economics
ECON 4815;Special Topics in Economics;5;Courses designed to permit students and a professor to pursue a specialized interest in an area of economics not extensively treated in the offerings of the School;Economics
ECON 4910;Individual Research in Economics;3;Course related to independent student research.  Topics determined by instructor and student;Economics
ECON 6100;Economics and Strategy for Managers;3;A survey of microeconomic and macroeconomic concepts essential to the academic preparation of prospective managers.  Economic theory used as a framework for contemporary managerial decision making;Economics
ECON 6104;Behavioral Economics;3;Human psychology and the rational choice models of economics are joined to better understand human decision-making. Students will design and execute their own experiments;Economics
ECON 6105;Macroeconomics;3;Macroeconomic theory, including determination of national income, employment, the general price level, and potential for economic growth.  Sources of macroeconomic instability and stabilization policies;Economics
ECON 6106;Microeconomic Analysis;3;Microeconomics, resource allocation decisions of households, businesses, and government agencies.  Enables the student to understand and apply economic principles to consumer, business, and government decisions;Economics
ECON 6110;Economics of Corporate Strategy;3;Applies microeconomic and macroeconomic theory to the development of modern corporate strategy, including organizational boundaries, market structure and competition, industry analysis, and competitive advantage;Economics
ECON 6121;Research Methods;3;Introduces students to issues related to conducting research in economics.  Topics include the derivation of empirical models from theoretical constructs, causality, experimental and non-experimental data, hypothesis testing, and policy analysis.  Students also become familiar with electronic data sources and retrieval and are introduced to several professional software packages;Economics
ECON 6130;Quantitative Methods in Economics;3;This course covers fundamental quantitative tools used in economic and econometric analysis, which includes topics in differential calculus, optimization, and linear algebra;Economics
ECON 6140;Econometrics I;3;This course gives students the necessary background for taking courses in the econometrics sequence.  Topics include descriptive statistics, continuous and discrete probability distributions, parameter estimation, one- and two-sample hypothesis testing, and bivariate regression models;Economics
ECON 6150;Cost-Benefit Analysis;3;The application of economic, financial, and quantitative reasoning and tools to issues of resource allocation and policy, primarily in the public sector;Economics
ECON 6160;Econometrics II;3;This course introduces advanced econometric methods on estimation and testing, including instrumental variable estimation, panel data analysis, limited dependent variable models, and simultaneous equation system.  The course emphasizes applications of these techniques to real-world problems using professional software packages;Economics
ECON 6161;Econometric Modeling and Forecasting;3;This course introduces techniques on economic and business forecasting, focusing on regression analysis and ARIMA models.  Testing for unit roots and cointegration are also discussed.  Professional software packages for forecasting are used in applications;Economics
ECON 6162;Discrete Choice Econometrics;3;"Focuses on econometric methods for which the dependent variable represents an ""either-or"" choice.  Included in the set of topics are binary and multinomial logic, ordered choice, heteroskedastic extreme value, bivariate and multivariate probit, nested logit structures, discrete/continuous, and Poisson models.  The course includes numerous applications using professional software programs";Economics
ECON 6170;Mathematical Modeling for Economics;3;Applies mathematical tools to economic analysis. Topics include the uses of linear algebra, multivariable calculus, comparative-static analysis, and optimization in economics;Economics
ECON 6200;Money and Capital Markets;3;The role of money in the exchange process, Federal Reserve strategy, and the impact of monetary policy on financial markets and aggregate economic activity;Economics
ECON 6250;Corporate Value Chains and Transfer Pricing;3;We analyze value chains that firms use to globally produce goods, services, and intangibles and apply microeconomic models to price and analyze value chain components;Economics
ECON 6310;Public Economics;3;An examination of public goods, public decision making, voting, free riders, taxation principles, welfare, the Tiebout Hypothesis, budgeting, and fiscal policy;Economics
ECON 6330;Urban and Regional Economics;3;Economics of regions, cities, and space.  Theories of growth and location, effects of urbanization, agglomeration, and congestion. Public policy relating to urban and regional problems;Economics
ECON 6341;Transportation Economics;3;Examines the economics of transportation markets, including resource allocation, economic welfare, government regulation, and public policy. Using an econometric case study approach, the course develops the necessary steps for testing hypotheses, analyzing the finding of recent studies, and exploring implications for the development and implementation of transportation policy;Economics
ECON 6360;Development Economics;3;Concepts and models of development and growth in Third World countries, emphasizing modeling and testing of recent changes in the Third World . Topics include economic growth, trade and globalization, poverty and inequity, migration, population growth, unemployment, agricultural development, the environment, and the role of the market versus the state;Economics
ECON 6380;Economics of Natural Resources and the Environment;3;Explores how economics can address a variety of environmental issues ranging from climate change to local pollution. Topic areas include externalities and the social costs of pollution, valuation of non-market goods, climate change policy (emissions taxes and cap-and-trade), management of renewable resources (fisheries and forests), extraction of exhaustible resources (minerals and fossil fuels), and more. Focuses on global, regional, and local environmental policy;Economics
ECON 6431;Strategic Economics for Global Enterprise;3;This course uses economic tools to examine strategic aspects of competition and collaboration in an integrated global market.  Topics include the determinants and changes in the boundaries of global firms, competitive advantage and value creation, the nature of global markets, and strategic positioning in the global market place;Economics
ECON 6440;The Economics of Technology, Innovation, and Entrpreneurship;3;This course explores the impact that innovation, technology progress, and R&D activities have upon a firm's pricing and output behavior.  Based upon computer case studies, biotechnology, and telecommunications sectors, the course further analyzes the economic role that firm size and entrepreneurial opportunities play in technological development and innovation;Economics
ECON 6450;Topics in African American Entrepreneurship;3;Explores African-American entrepreneurship from the ante-bellum period to the present.  Implications of economic and socio-political developments are given particular attention, including the urbanization of blacks, the rise of benevolent societies following slavery, institutionalization of Jim Crow segregation, desegregation, and affirmative action's role in an emerging class of black entrepreneurs;Economics
ECON 6460;Industrial Organization;3;This course examines modern theories of the firm, market power, and competitive strategy.  Game theory is employed throughout the course;Economics
ECON 6510;Economics of Health and Health Care;3;A critical survey of the current theoretical and empirical issues involving the economics of health and health care;Economics
ECON 6610;Seminar in Economic Policy;3;Interprets current economic problems and policies using fundamental economic principles;Economics
ECON 6620;History of Economic Thought;3;Economists who interpreted and influenced the development of capitalism and socialism over the last two centuries;Economics
ECON 6650;International Economics and Policy Analysis;3;Explores international economic issues.  The first part examines aspects of international trade, including specialization and exchange, strategy, labor and capital movements, preferential trading arrangements, and economic development.  The second part analyzes international finance, including exchange rates, open economy macro policies, Eurocurrency markets, and the international monetary system;Economics
ECON 6704;Introduction to Global Development;3;This course introduces students to the goals, theories and key institutional actors involved in the field of Global Development;Economics
ECON 7004;Mathematics for Economists;3;Topics include matrix algebra, limits and open sets, implicit functions and their derivatives, quadratic forms and definite matrices, unconstrained and constrained static optimization, dynamic optimization and economic applications;Economics
ECON 7012;Microeconomic Theory I;3;The topics covered in this course are axiomatic theory of consumer behavior, consumer choice, classical demand theory, aggregate demand, choice under uncertainty, producer theory and partial equilibrium analysis;Economics
ECON 7013;Microeconomic Theory II;3;The subject areas in this course are general equilibrium, welfare economics, externalities, public goods, economics of information and inter-temporal dynamic analysis;Economics
ECON 7015;Game Theory;3;Static and dynamic games of complete and incomplete information, and mechanism design.  Economic applications include Cournot, Bertrand and Stackelberg duopolies, voluntary provision of public goods, auctions, procurement contracts and time inconsistency issues;Economics
ECON 7022;Econometrics I;3;This course is a comprehensive introduction to mathematical statistics principles underlying statistical analyses in economics.  It covers probability theory, expectation, sampling, asymptotic results, the main families of probability distributions studied in economics, estimation and hypothesis testing;Economics
ECON 7023;Econometrics II;3;Linear and nonlinear regression analyses, hypothesis testing, ordinary and generalized least squares, instrumental variables estimation, the generalized method of moments, the method of maximum likelihood, methods for stationary time series, unit roots and cointegration, and specification testing;Economics
ECON 7025;Empirical Research Methods;3;Topics include up-to-date theory for data analysis, including time series, cross section and panel, and empirical applications using panel data, time series data and cross-sectional data;Economics
ECON 7026;Microeconomet Analysis;3;Focus on empirical microeconometric methods, including binary, multinomial, and ordered response models, and event history models.  Topics include sampling, estimation, and model interpretation;Economics
ECON 7031;Microeconomics of Innovation;3;Historical evolution of institutions that promote innovation, knowledge as a public good, prizes and intellectual property rights as incentive mechanisms, models of cumulative innovation, patent and copyright enforcement and litigation, private versus public funding, and the effects introduced by network externalities and globalization issues;Economics
ECON 7032;Macroeconomics of Innovation;3;Macroeconomic factors that lead to technological change, the roles played by technological innovation and knowledge spillovers as promoters of economic growth, and the scope for fiscal and monetary policies to foment research and development and hence economic growth;Economics
ECON 7102;Environmental Economics I;3;Topics include externalities, property rights, incentive design, emission taxes, tradable emission permits, renewable and nonrenewable resources, innovation incentives originating with environmental regulations and globalization, trans-boundary polluntants within and across nations, international environmental agreements, and the globalization impacts on the environment;Economics
ECON 7103;Environmental Economics II;3;Empirical course, built upon the theoretical topics covered in Environmental Economics I.  Students are given an in-depth coverage of key empirical papers in environmental economics, either papers that have tested several hypotheses derived from theoretical models or papers that are advancing knowledge in the field, generating empirical results for which no theory yet exists;Economics
ECON 7111;Industrial Organization I;3;Topics include market structures and the strategic behavior of firms (monopoly, oligopoly, imperfect competition), research and development, adoption of new technologies, regulations, procurement, antitrust law and competition policy;Economics
ECON 7112;Industrial Organization II;3;Empirical course that trains students to empirically examine the theoretical issues arising in Industrial Organization I.  Students are taught about  how to use existing data, collect and compile their own datasets and use frontier methods in empirical Industrial Organization to test hypotheses that originate from the theories related to pricing, product and process innovation, among others;Economics
ECON 7121;International Economics I;3;Topics include Ricardian and Hecksher-Ohlin models, extensions to many goods and factors, trade in intermediate inputs and wages, increasing returns, gains from trade and regional agreements, import tariffs and dumping, import quotas and export subsidies, political economy of trade policy and trade and endogenous growth. It also examines the relationship between international trade, foreign direct investment and technological innovation and diffusion;Economics
ECON 7122;International Economics II;3;Empirical extension of International Economics I, which surveys the empirical literature and presents the key empirical results related to the topics discussed in the theoretical course.  It also discusses frontier empirical work in the field, empirical studies that go beyond the testable hypotheses originated with theory;Economics
ECON 7130;Research Development and Presentation Workshop;3;Lecture topics include instructions on writing research papers in Economics and presenting their work.  Contents of presentations and research undertaken by students depend on students' research interests.  Students receive personalized feedback on research and presentations;Economics
ECON 7131;Development Economics I;3;This course covers important topics in development economics research and policy such as UN sustainable development goals, human resource investments, poverty and inequality, armed conflict and its impact on well-being and household decision-making. The course introduces students to latest theoretical developments as well as to empirical methods used in the field;Economics
ECON 7132;Development Economics II;3;This course covers emerging issues in development economics with a focus on the roles of individuals, families, institutions and policies. The class emphasizes a connection between economic modeling of agents’ behavior and relevant empirical methods;Economics
ECON 8802;Special Topics;2;;Economics
ECON 8803;Special Topics;3;;Economics
ECEP 6301;Power System Control and Operation;3;"Introduction to methods for the real time operation and control of power systems; to study the hardware and software technologies of modern energy management systems. Credit will not be awarded for both ECEP 6301 and ECE 6320.


ECEP 6304.  Power Systems Economics";Electrical & Comp Engr-Professional
ECEP 6304;Power Systems Economics;3;Comprehensive introduction to electricity economics, including economic theory, markets, and policy. Renewable energy, information systems, smart grid, and consumers examined as drivers for market architecture;Electrical & Comp Engr-Professional
ECEP 6305;Power System Planning & Reliability;3;To introduce basic concepts as well as analysis and optimization techniques underlying reliability assessment of electric power systems and planning techniques. Credit not awarded for both ECEP 6305 and ECE 6322;Electrical & Comp Engr-Professional
ECEP 6310;Capstone Project;3;Apply methods and techniques learned throughout the program to conduct energy system design. Students prepare a project proposal leading to a final report and presentation;Electrical & Comp Engr-Professional
ECEP 6351;Power System Protection;3;The theory and practice of modern power system protection techniques. Credit will not be awarded for both ECEP 6351 and ECE 6323;Electrical & Comp Engr-Professional
ECEP 8803;Special Topics;3;Special topics for ECEP;Electrical & Comp Engr-Professional
ECEP 8813;Special Topics;3;Special topics in ECEP;Electrical & Comp Engr-Professional
ECEP 8823;Special Topics;3;Special Topics for ECEP;Electrical & Comp Engr-Professional
ECE 1010;Introduction to ECE Design;2;"An introduction to basic concepts useful for all areas of Electrical and Computer Engineering. Focus on hands-on, team-based activities using robotics.


ECE 1100.  ECE Discovery Studio.  1 Credit Hour.

Students will explore ECE curriculum threads and opportunities available during the undergraduate experience while navigating the early career planning process.


ECE 1801.  Special Topics.  1 Credit Hour.



ECE 1802.  Special Topics";Electrical and Computer Engineering
ECE 1802;Special Topics;2;;Electrical and Computer Engineering
ECE 1803;Special Topics;3;;Electrical and Computer Engineering
ECE 1804;Special Topics;4;;Electrical and Computer Engineering
ECE 1805;Special Topics;5;;Electrical and Computer Engineering
ECE 1812;Special Topics;2;;Electrical and Computer Engineering
ECE 1813;Special Topics;3;;Electrical and Computer Engineering
ECE 1814;Special Topics;4;;Electrical and Computer Engineering
ECE 1815;Special Topics;5;;Electrical and Computer Engineering
ECE 1882;Special Topics;2;;Electrical and Computer Engineering
ECE 1883;Special Topics;3;;Electrical and Computer Engineering
ECE 1884;Special Topics;4;;Electrical and Computer Engineering
ECE 1892;Special Topics;2;;Electrical and Computer Engineering
ECE 1893;Special Topics;3;;Electrical and Computer Engineering
ECE 1894;Special Topics;4;;Electrical and Computer Engineering
ECE 2020;Digital System Design;3;Computer system and digital design principles.  Switch and gate design, Boolean algebra, number systems, arithmetic, storage elements.  Datapath, memory organization, instruction set architecture, assembly language.  Credit not allowed for both ECE 2020 and ECE 2030;Electrical and Computer Engineering
ECE 2026;Introduction to Signal Processing;3;Introduction to discrete-time signal processing and linear systems.  Sampling theorem, filtering, frequency response, Discrete Fourier Transform, Z-Transform.  Laboratory emphasizes computer-based signal processing.  Credit not allowed for both ECE 2026 and ECE 2025;Electrical and Computer Engineering
ECE 2031;Digital Design Laboratory;2;Design and implementation of digital systems, including a team  design project.  CAD tools, project design methodologies, logic synthesis, and assembly language programming;Electrical and Computer Engineering
ECE 2035;Programming for Hardware/Software Systems;4;Creation of complex execution and storage mechanisms, based on instruction set architecture, for software design including high-level programming languages and operating systems.  Programming design projects.  Credit not allowed for both ECE 2035 and ECE 3035;Electrical and Computer Engineering
ECE 2036;Engineering Software Design;4;"Object-oriented software methods for engineering applications.  Numerical analysis methods; simulations and graphical presentation of simulation results; analysis of numerical precision.  Programming projects.  Credit not allowed for both ECE 2036 and ECE 3090";Electrical and Computer Engineering
ECE 2040;Circuit Analysis;3;Basic concepts of DC and AC circuit theory and analysis;Electrical and Computer Engineering
ECE 2802;Special Topics;2;;Electrical and Computer Engineering
ECE 2803;Special Topics;3;;Electrical and Computer Engineering
ECE 2804;Special Topics;4;;Electrical and Computer Engineering
ECE 2805;Special Topics;5;;Electrical and Computer Engineering
ECE 2806;Special Topics;3;special topics;Electrical and Computer Engineering
ECE 2812;Special Topics;2;;Electrical and Computer Engineering
ECE 2813;Special Topics;3;;Electrical and Computer Engineering
ECE 2814;Special Topics;4;;Electrical and Computer Engineering
ECE 2815;Special Topics;5;;Electrical and Computer Engineering
ECE 2882;Special Topics;2;;Electrical and Computer Engineering
ECE 2883;Special Topics;3;;Electrical and Computer Engineering
ECE 2884;Special Topics;4;;Electrical and Computer Engineering
ECE 2892;Special Topics;2;;Electrical and Computer Engineering
ECE 2893;Special Topics;3;;Electrical and Computer Engineering
ECE 2894;Special Topics;4;;Electrical and Computer Engineering
ECE 3011;ECE Design Fundamentals;2;This course teaches system-level design, including both software and hardware. Through activities and projects, students gain exposure to entrepreneurship, product lifecycle management, prototyping, and testing;Electrical and Computer Engineering
ECE 3025;Electromagnetics;3;To present the laws and applications of electromagnetics;Electrical and Computer Engineering
ECE 3030;Physical Foundations of Computer Engineering;3;Basic principles governing the physical realization of computing systems and their relationship to characteristics such as performance, energy, and robustness.  Implementation technologies;Electrical and Computer Engineering
ECE 3040;Microelectronic Circuits;4;Basic concepts of microelectronic materials, devices, and circuits;Electrical and Computer Engineering
ECE 3040R;ECE 3040 Recitation;0;ECE 3040 Recitation;Electrical and Computer Engineering
ECE 3043;Measurements, Circuits, and Microelectronics Laboratory;2;Basic electronic test instrumentation.  Elementary passive and active circuits using both discrete (diodes, bipolar junction transistors, MOSFETs) and integrated devices (operational amplifiers).  Credit not allowed for both ECE 3043 and ECE 3041;Electrical and Computer Engineering
ECE 3058;Architecture, Systems, Concurrency, and Energy in Computation;4;Basic organizational principles of the major components of a processor – the core, memory hierarchy, I/O subsystem and basic operating system constructs that utilize them;Electrical and Computer Engineering
ECE 3072;Electrical Energy Systems;3;Non-renewable and renewable/sustainable energy sources.  Processes, costs, and environmental impact of conversion into electric energy.  Delivery and control of electric energy, electromechanical systems.  Credit not allowed for both ECE 3072 and ECE 3071;Electrical and Computer Engineering
ECE 3077;Introduction to Probability and Statistics for ECE;3;Introduction to probability, random variables, distributions, estimation, confidence intervals, linear regression and other tools for describing and managing uncertainty in electrical and computer engineering;Electrical and Computer Engineering
ECE 3084;Signals and Systems;3;Continuous-time linear systems and signals, their mathematical representations, and computational tools.  Fourier and Laplace transforms, convolutions, input-output responses, stability;Electrical and Computer Engineering
ECE 3150;VLSI and Advanced Digital Design;4;Advanced digital design issues in the context of VLSI systems. Introduction to a design methodolgy that encompasses the range from architectural models to circuit simulation. Credit not awarded for ECE 3150 and ECE 3060;Electrical and Computer Engineering
ECE 3170;Cryptographic Hardware for Embedded Systems;4;Introduction to cryptography and authentication from a hardware-centric perspective.  Historic ciphers, symmetric and asymmetric encryption, and power analysis attacks are taught from a digital and VLSI design perspective;Electrical and Computer Engineering
ECE 3251;Optimization for Information Systems;3;An introduction to the fundamentals of optimization with a focus on algorithms and applications in signal processing, control systems, machine learning, and robotics;Electrical and Computer Engineering
ECE 3300;Electromechanical and Electromagnetic Energy Conversion;3;Introduction to three phase power systems, electromechanical energy conversion and operating principles of electric machines;Electrical and Computer Engineering
ECE 3400;Analog Electronics;3;Analysis and design of electronic circuits and systems.  Biasing, small-signal analysis, frequency response, feedback amplifiers, active filters, non-linear op-amp applications, and oscillators;Electrical and Computer Engineering
ECE 3450;Semiconductor Devices;3;Properties of semiconductor devices.  Applications in current and future computers, fiber optic and wireless communication systems.  Future needs of high frequency, GHz-range, device operation;Electrical and Computer Engineering
ECE 3550;Feedback Control Systems;3;Analysis and design of control systems.  Laplace transforms, transfer functions, and stability.  Feedback systems: tracking and disturbance rejection.  Graphical design techniques;Electrical and Computer Engineering
ECE 3600;Computer Communications;3;Basic concepts of computer communication network protocols;Electrical and Computer Engineering
ECE 3710;Circuits and Electronics;2;An introduction to electric circuit elements and electronic devices and a study of circuits containing such devices;Electrical and Computer Engineering
ECE 3802;Special Topics;2;;Electrical and Computer Engineering
ECE 3803;Special Topics;3;;Electrical and Computer Engineering
ECE 3804;Special Topics;4;;Electrical and Computer Engineering
ECE 3805;Special Topics;5;;Electrical and Computer Engineering
ECE 3812;Special Topics;2;;Electrical and Computer Engineering
ECE 3813;Special Topics;3;;Electrical and Computer Engineering
ECE 3814;Special Topics;4;;Electrical and Computer Engineering
ECE 3815;Special Topics;5;;Electrical and Computer Engineering
ECE 3872;Special Topics;2;;Electrical and Computer Engineering
ECE 3882;Special Topics;2;;Electrical and Computer Engineering
ECE 3883;Special Topics;3;;Electrical and Computer Engineering
ECE 3884;Special Topics;4;;Electrical and Computer Engineering
ECE 3892;Special Topics;2;;Electrical and Computer Engineering
ECE 3893;Special Topics;3;;Electrical and Computer Engineering
ECE 3894;Special Topics;4;;Electrical and Computer Engineering
ECE 4011;ECE Culminating Design Project I;2;First semester of ECE culminating design sequence.  Design tools, financial principles, project management, probabilistic and statistical techniques, team forming.  Requires formal reports and group presentations;Electrical and Computer Engineering
ECE 4012;ECE Culminating Design Project II;3;Second semester of ECE culminating design sequence.  Team project in ECE incorporating engineering standards and realistic constraints.  Requires formal reports and group presentations;Electrical and Computer Engineering
ECE 4014;ECE Culminating Design II;2;Second course in a culminating design sequence.  Student teams design, build, test, document, demonstrate prototype system reflective of knowledge gained as an undergraduate engineering student;Electrical and Computer Engineering
ECE 4015;ECE-Only Single-Semester Capstone Design;3;A single-semester ECE culminating design experience forming ECE-only teams, proposing, prototyping, testing, demonstrating, formally presenting and documenting projects incorporating engineering standards and realistic constraints;Electrical and Computer Engineering
ECE 4043;Senior Analog Electronics Laboratory;2;Experiments in analog electronics using discrete devices and off-the-shelf integrated circuits;Electrical and Computer Engineering
ECE 4053;Research Methods;2;Course provides methods and practices for literature searching, reference management, and summary preparation. Coverage  includes journals, conferences, theses, patents, grants, roadmaps, and companies;Electrical and Computer Engineering
ECE 4100;Advanced Computer Architecture;3;Comprehensive coverage of the architecture and system issues that confront the design of high-performance workstation/PC computer architectures with emphasis on quantitative evaluation. Credit is not allowed for both ECE 4100 and any of the following courses: ECE 6100, CS 4290, CS 6290;Electrical and Computer Engineering
ECE 4112;Internetwork Security;3;Hands-on experimentation and evaluation of internet security theory, principles, and practices. Laboratory component involves implementing both defensive and offensive security techniques. Credit not awarded for both ECE 4112 and ECE 4115;Electrical and Computer Engineering
ECE 4115;Introduction to Computer Security;4;Introductory topics in computer security are presented with an emphasis on fundamental security primitives and current security challenges facing society. Credit not awarded for both ECE 4115 and ECE 4112;Electrical and Computer Engineering
ECE 4117;Introduction to Malware Reverse Engineering;4;This course exposes students to an immersive, hands-on experience in the dissection and analysis of the code, structure, and functionality of malicious software;Electrical and Computer Engineering
ECE 4122;Advanced Programming Techniques for Engineering Applications;3;Course covers a number of programming techniques for distributed and parallel computing and other advanced methods, such as multiprecision arithmetic and nonblocking I/O. Credit not awarded for ECE 4122 and ECE 6122;Electrical and Computer Engineering
ECE 4130;Advanced VLSI Systems;4;An advanced treatment of VLSI systems analysis, design, and testing with emphasis on complex systems and how they are incorporated into a silicon environment. Credit is not allowed for both ECE 4130 and ECE 6130;Electrical and Computer Engineering
ECE 4147;Adv Malware Analysis;3;This course covers advanced approaches for the analysis of malicious software and explores recent research and unsolved problems in software protection and forensics;Electrical and Computer Engineering
ECE 4150;Cloud Computing;3;Cloud computing technologies, computation models, and applications, design methodologies for cloud applications, use of cloud-based languages and tools in developing advanced applications;Electrical and Computer Engineering
ECE 4156;Hardware-Oriented Security and Trust;3;"Fundamental concepts, foundation, and methodologies for the design of trustworthy circuits including protection of the
hardware platform against tampering. Physical cloning of cryptographic VLSI circuits";Electrical and Computer Engineering
ECE 4180;Embedded Systems Design;4;"Processors, chipsets, busses, and I/O devices for high-ended embedded systems. Embedded operating systems; device drivers and applications for embedded systems";Electrical and Computer Engineering
ECE 4181;Embedded Computing Systems;4;Algorithms and methodologies for the design of real-time, low-power embedded computing systems;Electrical and Computer Engineering
ECE 4252;Fundamentals of Machine Learning (FunML);3;An introduction to the fundamentals and applications of Machine Learning. Students cannot receive credit for both ECE 4252 and CS 4641;Electrical and Computer Engineering
ECE 4258;Digital Image Processing;3;An introduction to the Fundamentals of Image Processing;Electrical and Computer Engineering
ECE 4260;Random Signals and Applications;3;Introduction to random signals and processes with emphasis on applications in ECE.  Includes basic estimation theory, linear prediction, and statistical modeling;Electrical and Computer Engineering
ECE 4270;Fundamentals of Digital Signal Processing;3;Introduction to digital signal processing. Sampling theorem, discrete-time Fourier transform. Power spectrum, discrete Fourier transform and the FFT algorithm, Z-transform, digital filter design and implementation;Electrical and Computer Engineering
ECE 4271;Applications of Digital Signal Processing;4;Applications of DSP in speech, image processing, radar, pattern recognition, and adaptive filtering requiring working software implementations applied to the analysis of real signals;Electrical and Computer Engineering
ECE 4273;Design Synthesis of Application-specific Signal Processors;3;Fundamentals of theory and practice of DSP chip design in VHDL. Exposure to tools and environments for chip design, simulation, and verification;Electrical and Computer Engineering
ECE 4320;Power System Analysis and Control;3;Introduces basic concepts in electric power generation, distribution, system control, and economic operation;Electrical and Computer Engineering
ECE 4321;Power System Engineering;3;To introduce basic concepts of electric power system design, encompassing protection, stability, and control;Electrical and Computer Engineering
ECE 4325;Electric Power Quality;3;Transients and harmonics in power systems, analysis methods and mitigation practices.  Causes of power quality problems and relationship to equipment susceptibility.  Credit not allowed for both ECE 4325 and ECE 6340;Electrical and Computer Engineering
ECE 4330;Power Electronics;3;Introduces power semiconductor devices and power electronic converters, including single-phase and three-phase ac/dc rectifiers, ac voltage controllers, dc/dc converters, and dc/ac inverters;Electrical and Computer Engineering
ECE 4335;Electric Machinery Analysis;3;Advanced theory of AC machines, including AC motor winding design, finite element analysis, induction motor design, permanent magnet machine design, and synchronous machine dynamics.  Credit is not allowed for both ECE 4335 and ECE 6335;Electrical and Computer Engineering
ECE 4350;Electromagnetic and Microwave Applications;3;Presents concepts of electromagnetic fields applied to microwave circuit design and antenna radiation. Credit will not be awarded for ECE 4350 and ECE 3065;Electrical and Computer Engineering
ECE 4360;RF-Microwave Measurement Laboratory;2;RF/microwave measurement theory and techniques. Use of state-of-the-art equipment operating into the GHz range;Electrical and Computer Engineering
ECE 4370;Antenna Engineering;3;Basic theory, application, and design of a broad range of antennas;Electrical and Computer Engineering
ECE 4390;Introduction to Radar and Electromagnetic Sensing;3;Introduces students to radar systems, including pulsed, CW, CWFM, and MTI radars. Other techniques for electromagnetic sensing such as radiometry and EM tagging are discussed;Electrical and Computer Engineering
ECE 4391;Electromagnetic Compatibility;3;To study electromagnetic interference and susceptibility of electrical systems, with application to analog and digital circuits;Electrical and Computer Engineering
ECE 4415;RF Engineering I;3;Fundamentals of RF engineering. Components at high frequencies, device modeling, amplifiers, lumped-element and microstrip impedance transformation networks, S-parameter-based design of RF and microwave amplifiers;Electrical and Computer Engineering
ECE 4418;RF Engineering II;3;Fundamentals learned in RF-I are employed to design the elements of radio receivers, transmitters, and similar systems.  Systems analysis, mixers, detectors, power amplifiers, low-noise amplifiers, and oscillators are covered;Electrical and Computer Engineering
ECE 4420;Digital Integrated Circuits;3;Analysis and design of bipolar and MOS digital integrated circuit families and their applications in modern electronic systems;Electrical and Computer Engineering
ECE 4430;Analog Integrated Circuits;3;Analysis and design of analog ICs using analytic techniques and CAD tools. Topics include amplifiers, current sources, output circuits, and other analog building blocks;Electrical and Computer Engineering
ECE 4435;Operational Amplifier Design;3;Analysis and design techniques for utilization of integrated circuit operational amplifiers for applications in electronic systems;Electrical and Computer Engineering
ECE 4445;Audio Engineering;3;Concepts of acoustics and electroacoustic modeling for the analysis and design of microphones, loudspeakers, and crossover networks. Methods of analysis and design of audio power amplifiers;Electrical and Computer Engineering
ECE 4448;Guitar Amplification and Effects;3;Mathematical analysis and laboratory measurement of vibrating strings, electromagnetic pickups, vacuum tube amplifiers, solid-state distortion, and swept filter effects;Electrical and Computer Engineering
ECE 4450;Analog Circuits for Music Synthesis;3;Circuits from classic analog synthesizers: nonlinear waveshapers and voltage-controlled oscillators, filters, and amplifier using operational transconductance amplifliers and the dynamic resistance of semiconductors;Electrical and Computer Engineering
ECE 4452;IC Fabrication;3;Introduction to microelectronic processing technologies and CMOS. Includes a laboratory for fabrication/testing of MOS transistors, basic CMOS circuits, integrated resistors and capacitors. Credit will not be awarded for ECE 4452 and ECE 4752;Electrical and Computer Engineering
